age,ageGroup,subID
8.076712329,1,638
8.4,1,563
8.624657534,1,530
8.704109589,1,581
8.780821918,1,575
8.873972603,1,639
9.079452055,1,635
9.142465753,1,529
9.279452055,1,583
9.539726027,1,570
9.569863014,1,537
9.824657534,1,645
10.11780822,1,637
10.42465753,1,525
10.70684932,1,622
10.70958904,1,640
10.84383562,1,542
10.87123288,1,565
11.09041096,1,521
11.10958904,1,527
11.11506849,1,538
11.60547945,1,605
11.60547945,1,606
11.93972603,1,611
12.09315068,1,585
12.09863014,1,582
12.17260274,1,572
12.35616438,1,629
12.56712329,1,612
12.69863014,1,584
13.55342466,2,520
13.55342466,2,536
13.66027397,2,604
13.80273973,2,607
13.86027397,2,528
13.90410959,2,539
14.22465753,2,526
14.31780822,2,603
14.48767123,2,523
14.90136986,2,617
14.91506849,2,636
14.95616438,2,608
14.97260274,2,609
15.1260274,2,641
15.30958904,2,541
15.84657534,2,616
15.95068493,2,531
15.96164384,2,630
15.96986301,2,610
16.15068493,2,631
16.42739726,2,642
16.53972603,2,659
16.84657534,2,578
16.84657534,2,633
17.05205479,2,651
17.15342466,2,533
17.35342466,2,519
17.39178082,2,656
17.41917808,2,658
17.81643836,2,601
18.05753425,3,561
18.22465753,3,515
18.23561644,3,577
18.36986301,3,503
18.80273973,3,553
18.87123288,3,554
19.10958904,3,649
19.25753425,3,568
19.27123288,3,516
19.36712329,3,652
19.47945205,3,625
19.56164384,3,511
19.92328767,3,504
20.31506849,3,646
20.43835616,3,580
20.44931507,3,517
20.56712329,3,550
20.6739726,3,579
20.75068493,3,534
20.92328767,3,643
21,3,552
21.05205479,3,653
21.28767123,3,555
21.65479452,3,576
21.67945205,3,569
21.78356164,3,654
21.92876712,3,615
22,3,626
22.10136986,3,661
22.22739726,3,518
22.23287671,3,514
22.26027397,3,513
22.81917808,3,510
22.95068493,3,632
22.99452055,3,660
23.03561644,4,621
23.14794521,4,562
23.18356164,4,501
23.46849315,4,560
23.56438356,4,524
23.62739726,4,662
23.70136986,4,619
24.15342466,4,512
24.2,4,500
24.57808219,4,557
25.00547945,4,551
25.02739726,4,614
25.16164384,4,535
25.40273973,4,644
25.65205479,4,532
25.67671233,4,566
25.85479452,4,558
26.04657534,4,540
26.07671233,4,573
26.25479452,4,650
26.57534247,4,574
26.70684932,4,571
26.71232877,4,559
27.09863014,4,556
27.18356164,4,522
27.51780822,4,564
27.79452055,4,586
